language,keyword,cluster,intent,priority,recommended_url,recommended_h1,recommended_title,recommended_meta_description,similar_keywords,page_exists,notes
UA,відкрити замок Деснянський район,districts,локальний,середній,/raiony/desnianskyi-raion/,Відкрити замок деснянський район,Відкрити замок деснянський район - OpenMe,"Відкрити замок деснянський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття дверей Деснянський район,districts,локальний,середній,/raiony/desnianskyi-raion/,Відкриття дверей деснянський район,Відкриття дверей деснянський район - OpenMe,"Відкриття дверей деснянський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,аварійне відкриття дверей Деснянський район,districts,локальний,середній,/raiony/desnianskyi-raion/,Аварійне відкриття дверей деснянський район,Аварійне відкриття дверей деснянський район - OpenMe,"Аварійне відкриття дверей деснянський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття авто Деснянський район,districts,локальний,середній,/raiony/desnianskyi-raion/,Відкриття авто деснянський район,Відкриття авто деснянський район - OpenMe,"Відкриття авто деснянський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,ремонт замків Деснянський район,districts,локальний,середній,/raiony/desnianskyi-raion/,Ремонт замків деснянський район,Ремонт замків деснянський район - OpenMe,"Ремонт замків деснянський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,заміна замків Деснянський район,districts,локальний,середній,/raiony/desnianskyi-raion/,Заміна замків деснянський район,Заміна замків деснянський район - OpenMe,"Заміна замків деснянський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,майстер по замках Деснянський район,districts,локальний,середній,/raiony/desnianskyi-raion/,Майстер по замках деснянський район,Майстер по замках деснянський район - OpenMe,"Майстер по замках деснянський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкрити замок Подільський район,districts,локальний,середній,/raiony/podilskyi-raion/,Відкрити замок подільський район,Відкрити замок подільський район - OpenMe,"Відкрити замок подільський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття дверей Подільський район,districts,локальний,середній,/raiony/podilskyi-raion/,Відкриття дверей подільський район,Відкриття дверей подільський район - OpenMe,"Відкриття дверей подільський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,аварійне відкриття дверей Подільський район,districts,локальний,середній,/raiony/podilskyi-raion/,Аварійне відкриття дверей подільський район,Аварійне відкриття дверей подільський район - OpenMe,"Аварійне відкриття дверей подільський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття авто Подільський район,districts,локальний,середній,/raiony/podilskyi-raion/,Відкриття авто подільський район,Відкриття авто подільський район - OpenMe,"Відкриття авто подільський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,ремонт замків Подільський район,districts,локальний,середній,/raiony/podilskyi-raion/,Ремонт замків подільський район,Ремонт замків подільський район - OpenMe,"Ремонт замків подільський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,заміна замків Подільський район,districts,локальний,середній,/raiony/podilskyi-raion/,Заміна замків подільський район,Заміна замків подільський район - OpenMe,"Заміна замків подільський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,майстер по замках Подільський район,districts,локальний,середній,/raiony/podilskyi-raion/,Майстер по замках подільський район,Майстер по замках подільський район - OpenMe,"Майстер по замках подільський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкрити замок Святошинський район,districts,локальний,середній,/raiony/sviatoshynskyi-raion/,Відкрити замок святошинський район,Відкрити замок святошинський район - OpenMe,"Відкрити замок святошинський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття дверей Святошинський район,districts,локальний,середній,/raiony/sviatoshynskyi-raion/,Відкриття дверей святошинський район,Відкриття дверей святошинський район - OpenMe,"Відкриття дверей святошинський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,аварійне відкриття дверей Святошинський район,districts,локальний,середній,/raiony/sviatoshynskyi-raion/,Аварійне відкриття дверей святошинський район,Аварійне відкриття дверей святошинський район - OpenMe,"Аварійне відкриття дверей святошинський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття авто Святошинський район,districts,локальний,середній,/raiony/sviatoshynskyi-raion/,Відкриття авто святошинський район,Відкриття авто святошинський район - OpenMe,"Відкриття авто святошинський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,ремонт замків Святошинський район,districts,локальний,середній,/raiony/sviatoshynskyi-raion/,Ремонт замків святошинський район,Ремонт замків святошинський район - OpenMe,"Ремонт замків святошинський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,заміна замків Святошинський район,districts,локальний,середній,/raiony/sviatoshynskyi-raion/,Заміна замків святошинський район,Заміна замків святошинський район - OpenMe,"Заміна замків святошинський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,майстер по замках Святошинський район,districts,локальний,середній,/raiony/sviatoshynskyi-raion/,Майстер по замках святошинський район,Майстер по замках святошинський район - OpenMe,"Майстер по замках святошинський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкрити замок Дніпровський район,districts,локальний,середній,/raiony/dniprovskyi-raion/,Відкрити замок дніпровський район,Відкрити замок дніпровський район - OpenMe,"Відкрити замок дніпровський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття дверей Дніпровський район,districts,локальний,середній,/raiony/dniprovskyi-raion/,Відкриття дверей дніпровський район,Відкриття дверей дніпровський район - OpenMe,"Відкриття дверей дніпровський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,аварійне відкриття дверей Дніпровський район,districts,локальний,середній,/raiony/dniprovskyi-raion/,Аварійне відкриття дверей дніпровський район,Аварійне відкриття дверей дніпровський район - OpenMe,"Аварійне відкриття дверей дніпровський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,відкриття авто Дніпровський район,districts,локальний,середній,/raiony/dniprovskyi-raion/,Відкриття авто дніпровський район,Відкриття авто дніпровський район - OpenMe,"Відкриття авто дніпровський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,ремонт замків Дніпровський район,districts,локальний,середній,/raiony/dniprovskyi-raion/,Ремонт замків дніпровський район,Ремонт замків дніпровський район - OpenMe,"Ремонт замків дніпровський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,заміна замків Дніпровський район,districts,локальний,середній,/raiony/dniprovskyi-raion/,Заміна замків дніпровський район,Заміна замків дніпровський район - OpenMe,"Заміна замків дніпровський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,майстер по замках Дніпровський район,districts,локальний,середній,/raiony/dniprovskyi-raion/,Майстер по замках дніпровський район,Майстер по замках дніпровський район - OpenMe,"Майстер по замках дніпровський район у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається районною сторінкою.
UA,що робити якщо замок заклинив,faq,інформаційний,середній,/,Що робити якщо замок заклинив,Що робити якщо замок заклинив - OpenMe,"Що робити якщо замок заклинив у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається загальною інформацією на головній або сервісних сторінках.
UA,як викликати майстра по замках,faq,інформаційний,середній,/,Як викликати майстра по замках,Як викликати майстра по замках - OpenMe,"Як викликати майстра по замках у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається загальною інформацією на головній або сервісних сторінках.
UA,скільки коштує відкриття замка,faq,інформаційний,середній,/,Скільки коштує відкриття замка,Скільки коштує відкриття замка - OpenMe,"Скільки коштує відкриття замка у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається загальною інформацією на головній або сервісних сторінках.
UA,як довго приїжджає майстер,faq,інформаційний,середній,/,Як довго приїжджає майстер,Як довго приїжджає майстер - OpenMe,"Як довго приїжджає майстер у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається загальною інформацією на головній або сервісних сторінках.
UA,як відкрити квартиру якщо ключі всередині,faq,інформаційний,середній,/,Як відкрити квартиру якщо ключі всередині,Як відкрити квартиру якщо ключі всередині - OpenMe,"Як відкрити квартиру якщо ключі всередині у Києві від OpenMe. Швидко, акуратно та без зайвих пошкоджень.",,yes,Покривається загальною інформацією на головній або сервісних сторінках.
RU,аварийное вскрытие замков Киев,main,коммерческий,высокий,/ru/,Аварийное вскрытие замков киев,Аварийное вскрытие замков киев - OpenMe,"Аварийное вскрытие замков киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается главной страницей и сервисными ссылками.
RU,открыть замок Киев,main,коммерческий,высокий,/ru/,Открыть замок киев,Открыть замок киев - OpenMe,"Открыть замок киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается главной страницей и сервисными ссылками.
RU,вскрытие замков Киев,main,коммерческий,высокий,/ru/,Вскрытие замков киев,Вскрытие замков киев - OpenMe,"Вскрытие замков киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается главной страницей и сервисными ссылками.
RU,мастер по замкам Киев,main,коммерческий,высокий,/ru/,Мастер по замкам киев,Мастер по замкам киев - OpenMe,"Мастер по замкам киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается главной страницей и сервисными ссылками.
RU,замочный мастер Киев,main,коммерческий,высокий,/ru/,Замочный мастер киев,Замочный мастер киев - OpenMe,"Замочный мастер киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается главной страницей и сервисными ссылками.
RU,аварийная служба вскрытия замков Киев,main,коммерческий,высокий,/ru/,Аварийная служба вскрытия замков киев,Аварийная служба вскрытия замков киев - OpenMe,"Аварийная служба вскрытия замков киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается главной страницей и сервисными ссылками.
RU,вскрытие замков 24/7 Киев,main,коммерческий,высокий,/ru/,Вскрытие замков 24/7 киев,Вскрытие замков 24/7 киев - OpenMe,"Вскрытие замков 24/7 киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается главной страницей и сервисными ссылками.
RU,открыть замок без повреждений Киев,main,коммерческий,высокий,/ru/,Открыть замок без повреждений киев,Открыть замок без повреждений киев - OpenMe,"Открыть замок без повреждений киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается главной страницей и сервисными ссылками.
RU,открыть дверь Киев,doors,коммерческий,высокий,/ru/avarijnoe-vskrytie-dverej/,Открыть дверь киев,Открыть дверь киев - OpenMe,"Открыть дверь киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей аварийного вскрытия дверей.
RU,аварийное вскрытие дверей Киев,doors,коммерческий,высокий,/ru/avarijnoe-vskrytie-dverej/,Аварийное вскрытие дверей киев,Аварийное вскрытие дверей киев - OpenMe,"Аварийное вскрытие дверей киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей аварийного вскрытия дверей.
RU,вскрытие дверей Киев,doors,коммерческий,высокий,/ru/avarijnoe-vskrytie-dverej/,Вскрытие дверей киев,Вскрытие дверей киев - OpenMe,"Вскрытие дверей киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей аварийного вскрытия дверей.
RU,вскрытие квартиры Киев,doors,коммерческий,высокий,/ru/avarijnoe-vskrytie-dverej/,Вскрытие квартиры киев,Вскрытие квартиры киев - OpenMe,"Вскрытие квартиры киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей аварийного вскрытия дверей.
RU,открыть квартиру Киев,doors,коммерческий,высокий,/ru/avarijnoe-vskrytie-dverej/,Открыть квартиру киев,Открыть квартиру киев - OpenMe,"Открыть квартиру киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей аварийного вскрытия дверей.
RU,заклинил замок в двери,doors,информационный,средний,/ru/avarijnoe-vskrytie-dverej/,Заклинил замок в двери,Заклинил замок в двери - OpenMe,"Заклинил замок в двери в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей аварийного вскрытия дверей.
RU,сломался ключ в замке,doors,информационный,средний,/ru/avarijnoe-vskrytie-dverej/,Сломался ключ в замке,Сломался ключ в замке - OpenMe,"Сломался ключ в замке в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей аварийного вскрытия дверей.
RU,ключ остался в квартире,doors,информационный,средний,/ru/avarijnoe-vskrytie-dverej/,Ключ остался в квартире,Ключ остался в квартире - OpenMe,"Ключ остался в квартире в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей аварийного вскрытия дверей.
RU,захлопнулась дверь что делать,doors,информационный,средний,/ru/avarijnoe-vskrytie-dverej/,Захлопнулась дверь что делать,Захлопнулась дверь что делать - OpenMe,"Захлопнулась дверь что делать в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей аварийного вскрытия дверей.
RU,вскрытие авто Киев,car,коммерческий,высокий,/ru/avarijnoe-vskrytie-avto/,Вскрытие авто киев,Вскрытие авто киев - OpenMe,"Вскрытие авто киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия авто.
RU,аварийное вскрытие авто Киев,car,коммерческий,высокий,/ru/avarijnoe-vskrytie-avto/,Аварийное вскрытие авто киев,Аварийное вскрытие авто киев - OpenMe,"Аварийное вскрытие авто киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия авто.
RU,открыть машину Киев,car,коммерческий,высокий,/ru/avarijnoe-vskrytie-avto/,Открыть машину киев,Открыть машину киев - OpenMe,"Открыть машину киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия авто.
RU,открыть авто без повреждений,car,коммерческий,высокий,/ru/avarijnoe-vskrytie-avto/,Открыть авто без повреждений,Открыть авто без повреждений - OpenMe,"Открыть авто без повреждений в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия авто.
RU,ключи остались в машине,car,информационный,средний,/ru/avarijnoe-vskrytie-avto/,Ключи остались в машине,Ключи остались в машине - OpenMe,"Ключи остались в машине в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия авто.
RU,машина закрылась ключи внутри,car,информационный,средний,/ru/avarijnoe-vskrytie-avto/,Машина закрылась ключи внутри,Машина закрылась ключи внутри - OpenMe,"Машина закрылась ключи внутри в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия авто.
RU,не открывается авто Киев,car,информационный,средний,/ru/avarijnoe-vskrytie-avto/,Не открывается авто киев,Не открывается авто киев - OpenMe,"Не открывается авто киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия авто.
RU,открыть багажник Киев,car,коммерческий,высокий,/ru/avarijnoe-vskrytie-avto/,Открыть багажник киев,Открыть багажник киев - OpenMe,"Открыть багажник киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия авто.
RU,открыть сейф Киев,safe,коммерческий,высокий,/ru/vskrytie-sejfov/,Открыть сейф киев,Открыть сейф киев - OpenMe,"Открыть сейф киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия сейфов.
RU,вскрытие сейфов Киев,safe,коммерческий,высокий,/ru/vskrytie-sejfov/,Вскрытие сейфов киев,Вскрытие сейфов киев - OpenMe,"Вскрытие сейфов киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия сейфов.
RU,аварийное вскрытие сейфа,safe,коммерческий,высокий,/ru/vskrytie-sejfov/,Аварийное вскрытие сейфа,Аварийное вскрытие сейфа - OpenMe,"Аварийное вскрытие сейфа в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия сейфов.
RU,забыл код от сейфа,safe,информационный,средний,/ru/vskrytie-sejfov/,Забыл код от сейфа,Забыл код от сейфа - OpenMe,"Забыл код от сейфа в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия сейфов.
RU,сейф не открывается,safe,информационный,средний,/ru/vskrytie-sejfov/,Сейф не открывается,Сейф не открывается - OpenMe,"Сейф не открывается в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия сейфов.
RU,потерял ключ от сейфа,safe,информационный,средний,/ru/vskrytie-sejfov/,Потерял ключ от сейфа,Потерял ключ от сейфа - OpenMe,"Потерял ключ от сейфа в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия сейфов.
RU,открыть гараж Киев,garage,коммерческий,высокий,/ru/vskrytie-garazhej/,Открыть гараж киев,Открыть гараж киев - OpenMe,"Открыть гараж киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия гаражей.
RU,вскрытие гаража Киев,garage,коммерческий,высокий,/ru/vskrytie-garazhej/,Вскрытие гаража киев,Вскрытие гаража киев - OpenMe,"Вскрытие гаража киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия гаражей.
RU,заклинил гаражный замок,garage,коммерческий,высокий,/ru/vskrytie-garazhej/,Заклинил гаражный замок,Заклинил гаражный замок - OpenMe,"Заклинил гаражный замок в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия гаражей.
RU,открыть навесной замок Киев,garage,коммерческий,высокий,/ru/vskrytie-garazhej/,Открыть навесной замок киев,Открыть навесной замок киев - OpenMe,"Открыть навесной замок киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия гаражей.
RU,мастер по гаражным замкам,garage,коммерческий,средний,/ru/vskrytie-garazhej/,Мастер по гаражным замкам,Мастер по гаражным замкам - OpenMe,"Мастер по гаражным замкам в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей вскрытия гаражей.
RU,ремонт замков Киев,repair,коммерческий,высокий,/ru/remont-zamena-zamkov/,Ремонт замков киев,Ремонт замков киев - OpenMe,"Ремонт замков киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей ремонта и замены замков.
RU,замена замков Киев,repair,коммерческий,высокий,/ru/remont-zamena-zamkov/,Замена замков киев,Замена замков киев - OpenMe,"Замена замков киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей ремонта и замены замков.
RU,замена личинки замка Киев,repair,коммерческий,высокий,/ru/remont-zamena-zamkov/,Замена личинки замка киев,Замена личинки замка киев - OpenMe,"Замена личинки замка киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей ремонта и замены замков.
RU,ремонт дверного замка,repair,коммерческий,высокий,/ru/remont-zamena-zamkov/,Ремонт дверного замка,Ремонт дверного замка - OpenMe,"Ремонт дверного замка в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей ремонта и замены замков.
RU,замена замка после потери ключей,repair,коммерческий,высокий,/ru/remont-zamena-zamkov/,Замена замка после потери ключей,Замена замка после потери ключей - OpenMe,"Замена замка после потери ключей в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей ремонта и замены замков.
RU,замена замка после взлома,repair,коммерческий,высокий,/ru/remont-zamena-zamkov/,Замена замка после взлома,Замена замка после взлома - OpenMe,"Замена замка после взлома в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей ремонта и замены замков.
RU,заклинил замок что делать,repair,информационный,средний,/ru/remont-zamena-zamkov/,Заклинил замок что делать,Заклинил замок что делать - OpenMe,"Заклинил замок что делать в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей ремонта и замены замков.
RU,мастер по ремонту замков Киев,repair,коммерческий,высокий,/ru/remont-zamena-zamkov/,Мастер по ремонту замков киев,Мастер по ремонту замков киев - OpenMe,"Мастер по ремонту замков киев в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается страницей ремонта и замены замков.
RU,открыть замок Оболонь,districts,локальный,средний,/ru/raiony/obolon/,Открыть замок оболонь,Открыть замок оболонь - OpenMe,"Открыть замок оболонь в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,вскрытие дверей Оболонь,districts,локальный,средний,/ru/raiony/obolon/,Вскрытие дверей оболонь,Вскрытие дверей оболонь - OpenMe,"Вскрытие дверей оболонь в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,аварийное вскрытие дверей Оболонь,districts,локальный,средний,/ru/raiony/obolon/,Аварийное вскрытие дверей оболонь,Аварийное вскрытие дверей оболонь - OpenMe,"Аварийное вскрытие дверей оболонь в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,вскрытие авто Оболонь,districts,локальный,средний,/ru/raiony/obolon/,Вскрытие авто оболонь,Вскрытие авто оболонь - OpenMe,"Вскрытие авто оболонь в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,ремонт замков Оболонь,districts,локальный,средний,/ru/raiony/obolon/,Ремонт замков оболонь,Ремонт замков оболонь - OpenMe,"Ремонт замков оболонь в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,замена замков Оболонь,districts,локальный,средний,/ru/raiony/obolon/,Замена замков оболонь,Замена замков оболонь - OpenMe,"Замена замков оболонь в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,мастер по замкам Оболонь,districts,локальный,средний,/ru/raiony/obolon/,Мастер по замкам оболонь,Мастер по замкам оболонь - OpenMe,"Мастер по замкам оболонь в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,открыть замок Позняки,districts,локальный,средний,/ru/raiony/poznyaki/,Открыть замок позняки,Открыть замок позняки - OpenMe,"Открыть замок позняки в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,вскрытие дверей Позняки,districts,локальный,средний,/ru/raiony/poznyaki/,Вскрытие дверей позняки,Вскрытие дверей позняки - OpenMe,"Вскрытие дверей позняки в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,аварийное вскрытие дверей Позняки,districts,локальный,средний,/ru/raiony/poznyaki/,Аварийное вскрытие дверей позняки,Аварийное вскрытие дверей позняки - OpenMe,"Аварийное вскрытие дверей позняки в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,вскрытие авто Позняки,districts,локальный,средний,/ru/raiony/poznyaki/,Вскрытие авто позняки,Вскрытие авто позняки - OpenMe,"Вскрытие авто позняки в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,ремонт замков Позняки,districts,локальный,средний,/ru/raiony/poznyaki/,Ремонт замков позняки,Ремонт замков позняки - OpenMe,"Ремонт замков позняки в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,замена замков Позняки,districts,локальный,средний,/ru/raiony/poznyaki/,Замена замков позняки,Замена замков позняки - OpenMe,"Замена замков позняки в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,мастер по замкам Позняки,districts,локальный,средний,/ru/raiony/poznyaki/,Мастер по замкам позняки,Мастер по замкам позняки - OpenMe,"Мастер по замкам позняки в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,открыть замок Печерск,districts,локальный,средний,/ru/raiony/pechersk/,Открыть замок печерск,Открыть замок печерск - OpenMe,"Открыть замок печерск в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,вскрытие дверей Печерск,districts,локальный,средний,/ru/raiony/pechersk/,Вскрытие дверей печерск,Вскрытие дверей печерск - OpenMe,"Вскрытие дверей печерск в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,аварийное вскрытие дверей Печерск,districts,локальный,средний,/ru/raiony/pechersk/,Аварийное вскрытие дверей печерск,Аварийное вскрытие дверей печерск - OpenMe,"Аварийное вскрытие дверей печерск в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,вскрытие авто Печерск,districts,локальный,средний,/ru/raiony/pechersk/,Вскрытие авто печерск,Вскрытие авто печерск - OpenMe,"Вскрытие авто печерск в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,ремонт замков Печерск,districts,локальный,средний,/ru/raiony/pechersk/,Ремонт замков печерск,Ремонт замков печерск - OpenMe,"Ремонт замков печерск в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,замена замков Печерск,districts,локальный,средний,/ru/raiony/pechersk/,Замена замков печерск,Замена замков печерск - OpenMe,"Замена замков печерск в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,мастер по замкам Печерск,districts,локальный,средний,/ru/raiony/pechersk/,Мастер по замкам печерск,Мастер по замкам печерск - OpenMe,"Мастер по замкам печерск в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,открыть замок Троещина,districts,локальный,средний,/ru/raiony/troeshchina/,Открыть замок троещина,Открыть замок троещина - OpenMe,"Открыть замок троещина в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
RU,вскрытие дверей Троещина,districts,локальный,средний,/ru/raiony/troeshchina/,Вскрытие дверей троещина,Вскрытие дверей троещина - OpenMe,"Вскрытие дверей троещина в Киеве от OpenMe. Быстро, аккуратно и без лишних повреждений.",,yes,Покрывается районной страницей.
